Name(Part No),Description,Quantity,Reference Link
MQ 135,Air Quality sensor,1,https://robu.in/mq-series-gas-sensor/
MQ 7,CO  sensor,1,https://robu.in/mq-series-gas-sensor/
MQ 2,Inflammable gas sensor,1,https://robu.in/mq-series-gas-sensor/
DHT22,Humidity sensor,1,https://robu.in/product/dht22-digital-temperature-humidity-sensor-temperature-humidity-module-am2302/?gad_source=1&gad_campaignid=20363337560&gbraid=0AAAAADvLFWdLSYmikARTXQHsSJCt-qmsr&gclid=EAIaIQobChMI65Lhv_XtjQMVdS-DAx1Zyg-5EAQYASABEgJ7m_D_BwE
ESP 32,Microcontroller,1,https://www.amazon.in/SquadPixel-ESP-32-Bluetooth-Development-Board/dp/B071XP56LM?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AJ6SIZC8YQDZX
Fans,Fan for the air purifier,6,https://robu.in/product/3007-5v-0-2a-pi-fan-30-x-30-x-7mm-black-2-x-1p/
LCD Display,Display screen,1,https://robu.in/product/waveshare-1-83inch-lcd-display-module-240x280-resolution-spi-interface-ips-lcd-65k-colors-rounded-corners-micro-lcd-display/
Carbon Filter,Filter,10 sheets, https://www.amazon.in/OxiClear-Refill-Filters-Activated-Carbon/dp/B08NZPLKNC/ref=asc_df_B08NZPLKNC?mcid=e4a96e2ee04634f0af85e91b44b9281d&tag=googleshopmob-21&linkCode=df0&hvadid=710113539245&hvpos=&hvnetw=g&hvrand=4820184217566928817&hvpone=&hvptwo=&hvqmt=&hvdev=m&hvdvcmdl=&hvlocint=&hvlocphy=20453&hvtargid=pla-1086166155091&psc=1&gad_source=1 
HEPA Filter sheets,Filter,2 sheets,https://www.flipkart.com/mushin-hepa-filter-paper-sheet-0-3-micron-pack-01-22-0x-22-0-cm/p/itm7df863cbd4f3e?pid=FPAHFXZSFE5YDAZH&lid=LSTFPAHFXZSFE5YDAZHEQM0FH&marketplace=FLIPKART&cmpid=content_filter-paper_8965229628_gmc
Logical Level shifter,Voltage regulator ,1,https://robu.in/product/txs0108e-high-speed-full-duplex-8-channel-logic-level-converter/?gad_source=1&gbraid=0AAAAADvLFWfoZ-nKgpF-nxturlb1I5jqB&gclid=Cj0KCQjwoNzABhDbARIsALfY8VNSCE9WzH1PTYAa7j1-kg4GkKL1HmqcfwMPIEaTiPJ6kdJim7au6dsaApA8EALw_wcB